ok  	github.com/n-orlov/deck/cmd/deck	5.114s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.800s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.775s
ok  	github.com/n-orlov/deck/features	257.662s
ok  	github.com/n-orlov/deck/internal/agent	0.004s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.025s
ok  	github.com/n-orlov/deck/internal/hookrecv	3.340s
ok  	github.com/n-orlov/deck/internal/interactive	10.912s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	2.893s
ok  	github.com/n-orlov/deck/internal/store	1.331s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	18.737s
ok  	github.com/n-orlov/deck/internal/tui	0.400s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
