ok  	github.com/n-orlov/deck/cmd/deck	6.860s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.799s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.775s
ok  	github.com/n-orlov/deck/features	307.120s
ok  	github.com/n-orlov/deck/internal/agent	0.004s
ok  	github.com/n-orlov/deck/internal/audit	0.017s
ok  	github.com/n-orlov/deck/internal/config	0.022s
ok  	github.com/n-orlov/deck/internal/hookrecv	3.754s
ok  	github.com/n-orlov/deck/internal/interactive	10.596s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	2.875s
ok  	github.com/n-orlov/deck/internal/store	1.320s
ok  	github.com/n-orlov/deck/internal/theme	0.003s
ok  	github.com/n-orlov/deck/internal/tmux	19.177s
ok  	github.com/n-orlov/deck/internal/tui	0.563s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
