ok  	github.com/n-orlov/deck/cmd/deck	5.132s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.794s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.773s
ok  	github.com/n-orlov/deck/features	351.066s
ok  	github.com/n-orlov/deck/internal/agent	0.003s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.032s
ok  	github.com/n-orlov/deck/internal/hookrecv	7.761s
ok  	github.com/n-orlov/deck/internal/interactive	10.585s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	3.568s
ok  	github.com/n-orlov/deck/internal/store	2.639s
ok  	github.com/n-orlov/deck/internal/theme	0.003s
ok  	github.com/n-orlov/deck/internal/tmux	19.119s
ok  	github.com/n-orlov/deck/internal/tui	0.765s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
