ok  	github.com/n-orlov/deck/cmd/deck	5.094s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.798s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.780s
ok  	github.com/n-orlov/deck/features	258.433s
ok  	github.com/n-orlov/deck/internal/agent	0.005s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.027s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.409s
ok  	github.com/n-orlov/deck/internal/interactive	11.001s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	3.295s
ok  	github.com/n-orlov/deck/internal/store	1.420s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	18.909s
ok  	github.com/n-orlov/deck/internal/tui	0.419s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
