ok  	github.com/n-orlov/deck/cmd/deck	5.174s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.787s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.768s
ok  	github.com/n-orlov/deck/features	292.961s
ok  	github.com/n-orlov/deck/internal/agent	0.003s
ok  	github.com/n-orlov/deck/internal/audit	0.017s
ok  	github.com/n-orlov/deck/internal/config	0.024s
ok  	github.com/n-orlov/deck/internal/hookrecv	3.462s
ok  	github.com/n-orlov/deck/internal/interactive	10.766s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	2.910s
ok  	github.com/n-orlov/deck/internal/store	1.722s
ok  	github.com/n-orlov/deck/internal/theme	0.003s
ok  	github.com/n-orlov/deck/internal/tmux	19.155s
ok  	github.com/n-orlov/deck/internal/tui	0.510s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
