1787772301 3.88 4.09 3.64 4/4115 23454 | pre-start
1787772306 6.46 4.62 3.81 5/4219 23506 | === RUN 1 ===
1787772311 6.42 4.64 3.83 4/4260 23512 | === RUN 1 ===
1787772316 7.27 4.85 3.90 3/4221 23518 | === RUN 1 ===
1787772321 7.17 4.87 3.91 2/4211 23525 | === RUN 1 ===
1787772326 6.91 4.85 3.91 4/4261 23533 | === RUN 1 ===
1787772331 6.84 4.87 3.92 19/4301 23539 | === RUN 1 ===
1787772336 7.09 4.96 3.95 3/4235 23545 | === RUN 1 ===
1787772341 6.84 4.94 3.95 25/4350 23551 | === RUN 1 ===
1787772346 6.54 4.91 3.95 21/4299 23557 | === RUN 1 ===
1787772351 7.13 5.06 4.00 5/4245 23563 | === RUN 1 ===
1787772356 6.88 5.04 4.00 8/4288 23569 | === RUN 1 ===
1787772361 6.57 5.01 4.00 17/4260 23575 | === RUN 1 ===
1787772366 6.45 5.01 4.00 5/4276 23581 | === RUN 1 ===
1787772371 7.69 5.29 4.10 3/4340 23587 | === RUN 1 ===
1787772376 7.48 5.29 4.10 2/4280 23593 | === RUN 1 ===
1787772381 9.12 5.66 4.23 16/4322 23599 | === RUN 1 ===
1787772386 11.67 6.25 4.43 42/4324 23621 | === RUN 1 ===
1787772391 12.18 6.45 4.50 7/4356 23627 | === RUN 1 ===
1787772396 13.93 6.90 4.66 3/4308 23638 | === RUN 1 ===
1787772401 12.89 6.81 4.64 2/4326 23644 | === RUN 1 ===
1787772406 12.10 6.74 4.63 2/4332 23650 | === RUN 1 ===
1787772411 12.81 6.98 4.72 23/4389 23664 | === RUN 1 ===
1787772416 14.11 7.34 4.85 21/4324 23682 | === RUN 1 ===
1787772421 14.98 7.64 4.96 3/4333 23698 | === RUN 1 ===
1787772426 14.02 7.56 4.95 3/4338 23714 | === RUN 1 ===
1787772431 14.18 7.70 5.01 10/4371 23730 | === RUN 1 ===
1787772436 13.20 7.61 4.99 3/4336 23746 | === RUN 1 ===
1787772441 12.55 7.56 4.99 4/4328 23762 | === RUN 1 ===
1787772446 11.70 7.47 4.98 4/4330 23778 | === RUN 1 ===
