1787793328 2.77 3.24 3.14 25/4304 87749 | === RUN 1 ===
1787793333 2.71 3.22 3.13 3/4235 87761 | === RUN 1 ===
1787793338 2.73 3.21 3.13 3/4249 87771 | === RUN 1 ===
1787793343 2.59 3.18 3.12 2/4254 87781 | === RUN 1 ===
1787793348 2.47 3.14 3.11 4/4287 87791 | === RUN 1 ===
1787793353 2.51 3.14 3.10 2/4348 87801 | === RUN 1 ===
1787793358 2.63 3.15 3.11 18/4335 87811 | === RUN 1 ===
1787793363 2.74 3.17 3.11 4/4316 87821 | === RUN 1 ===
1787793368 2.76 3.16 3.11 5/4341 87831 | === RUN 1 ===
1787793373 2.94 3.19 3.12 3/4307 87841 | === RUN 1 ===
1787793378 3.02 3.21 3.13 4/4353 87851 | === RUN 1 ===
1787793383 2.94 3.19 3.12 3/4373 87861 | === RUN 1 ===
1787793388 3.11 3.22 3.13 3/4384 87871 | === RUN 1 ===
1787793393 3.10 3.21 3.13 2/4334 87881 | === RUN 1 ===
1787793398 3.01 3.19 3.12 2/4349 87891 | === RUN 1 ===
1787793403 3.01 3.19 3.12 8/4386 87901 | === RUN 1 ===
1787793408 2.93 3.17 3.12 3/4402 87911 | === RUN 1 ===
1787793413 2.85 3.15 3.11 3/4417 87921 | === RUN 1 ===
1787793418 2.87 3.15 3.11 16/4438 87931 | === RUN 1 ===
1787793423 2.80 3.13 3.10 30/4396 87941 | === RUN 1 ===
1787793428 2.73 3.11 3.10 3/4373 87951 | === RUN 1 ===
1787793433 2.75 3.11 3.10 4/4404 87961 | === RUN 1 ===
1787793438 2.85 3.12 3.10 4/4396 87971 | === RUN 1 ===
1787793443 2.95 3.14 3.11 3/4419 87981 | === RUN 1 ===
1787793448 2.87 3.12 3.10 5/4449 87991 | === RUN 1 ===
1787793453 2.72 3.08 3.09 5/4407 88019 | === RUN 1 ===
1787793458 2.58 3.05 3.08 5/4438 88034 | === RUN 1 ===
1787793463 2.45 3.01 3.07 20/4506 88095 | === RUN 1 ===
1787793468 3.38 3.20 3.12 3/4482 88106 | === RUN 1 ===
1787793473 3.43 3.21 3.13 3/4484 88116 | === RUN 1 ===
1787793478 3.39 3.21 3.13 6/4455 88126 | === RUN 1 ===
1787793483 3.20 3.17 3.12 3/4446 88136 | === RUN 1 ===
1787793488 3.03 3.13 3.11 3/4443 88146 | === RUN 1 ===
1787793493 2.94 3.11 3.10 2/4449 88156 | === RUN 1 ===
1787793498 2.79 3.08 3.09 2/4481 88166 | === RUN 1 ===
1787793503 2.72 3.06 3.08 7/4564 88176 | === RUN 1 ===
1787793508 2.59 3.03 3.07 2/4482 88186 | === RUN 1 ===
1787793513 2.70 3.04 3.08 3/4446 88196 | === RUN 1 ===
1787793518 2.64 3.02 3.07 4/4455 88206 | === RUN 1 ===
1787793523 2.67 3.02 3.07 4/4496 88216 | === RUN 1 ===
1787793528 2.78 3.04 3.07 2/4491 88228 | === RUN 1 ===
1787793533 4.00 3.29 3.16 28/4601 88243 | === RUN 1 ===
1787793538 3.92 3.28 3.15 5/4557 88253 | === RUN 1 ===
1787793543 3.84 3.28 3.15 4/4513 88263 | === RUN 1 ===
1787793548 3.86 3.29 3.16 3/4527 88276 | === RUN 1 ===
1787793553 4.03 3.34 3.17 2/4502 88286 | === RUN 1 ===
1787793558 4.35 3.41 3.20 3/4552 88296 | === RUN 1 ===
1787793563 4.48 3.46 3.22 5/4562 88306 | === RUN 1 ===
1787793568 4.60 3.50 3.23 5/4553 88316 | === RUN 1 ===
1787793573 4.87 3.58 3.26 5/4528 88326 | === RUN 1 ===
1787793578 5.28 3.68 3.29 6/4529 88336 | === RUN 1 ===
1787793583 5.18 3.69 3.30 3/4535 88346 | === RUN 1 ===
1787793588 5.17 3.71 3.31 5/4614 88356 | === RUN 1 ===
1787793593 4.91 3.68 3.30 4/4622 88366 | === RUN 1 ===
1787793598 4.76 3.67 3.30 4/4649 88377 | === RUN 1 ===
1787793603 4.86 3.71 3.31 4/4619 88387 | === RUN 1 ===
1787793608 4.71 3.70 3.31 4/4604 88397 | === RUN 1 ===
1787793613 4.41 3.65 3.30 3/4616 88407 | === RUN 1 ===
1787793618 4.46 3.67 3.31 13/4652 88417 | === RUN 1 ===
1787793623 5.22 3.85 3.36 7/4709 88427 | === RUN 1 ===
1787793628 5.05 3.83 3.36 3/4685 88437 | === RUN 1 ===
1787793633 4.88 3.82 3.36 4/4664 88447 | === RUN 1 ===
1787793638 4.65 3.79 3.35 4/4635 88457 | === RUN 1 ===
1787793643 4.36 3.74 3.34 10/4673 88467 | === RUN 1 ===
1787793648 4.33 3.74 3.34 2/4667 88477 | === RUN 1 ===
1787793653 4.22 3.73 3.34 2/4704 88487 | === RUN 1 ===
1787793658 3.96 3.69 3.33 2/4714 88497 | === RUN 1 ===
1787793663 3.81 3.66 3.32 4/4719 88507 | === RUN 1 ===
1787793668 3.74 3.65 3.32 3/4814 88517 | === RUN 1 ===
1787793673 3.68 3.64 3.32 4/4840 88527 | === RUN 1 ===
1787793678 3.47 3.59 3.30 3/4995 88537 | === RUN 1 ===
1787793683 3.35 3.57 3.30 3/5039 88547 | === RUN 1 ===
1787793688 3.32 3.56 3.30 3/5083 88557 | === RUN 1 ===
1787793693 4.34 3.76 3.36 3/4314 88619 | === RUN 2 ===
1787793698 4.23 3.75 3.36 2/4232 88629 | === RUN 2 ===
1787793703 4.21 3.75 3.37 3/4272 88639 | === RUN 2 ===
1787793708 3.95 3.71 3.35 8/4345 88649 | === RUN 2 ===
1787793713 4.44 3.81 3.39 4/4333 88659 | === RUN 2 ===
1787793718 4.24 3.78 3.38 3/4347 88669 | === RUN 2 ===
1787793723 5.02 3.95 3.44 3/4351 88679 | === RUN 2 ===
1787793728 4.70 3.90 3.42 3/4314 88689 | === RUN 2 ===
1787793733 4.57 3.89 3.42 3/4352 88699 | === RUN 2 ===
1787793738 4.36 3.86 3.41 4/4341 88709 | === RUN 2 ===
1787793743 4.17 3.83 3.41 3/4359 88719 | === RUN 2 ===
1787793748 4.00 3.79 3.40 3/4379 88729 | === RUN 2 ===
1787793753 3.92 3.78 3.40 3/4334 88739 | === RUN 2 ===
1787793758 4.24 3.85 3.42 2/4334 88749 | === RUN 2 ===
1787793763 4.06 3.82 3.41 2/4352 88759 | === RUN 2 ===
1787793768 3.98 3.81 3.41 4/4428 88769 | === RUN 2 ===
1787793773 5.66 4.16 3.53 4/4422 88779 | === RUN 2 ===
1787793778 5.45 4.14 3.52 3/4459 88789 | === RUN 2 ===
1787793783 5.25 4.12 3.52 7/4452 88799 | === RUN 2 ===
1787793788 5.23 4.13 3.53 3/4394 88809 | === RUN 2 ===
1787793793 4.97 4.10 3.52 4/4427 88819 | === RUN 2 ===
1787793798 4.73 4.06 3.51 6/4437 88829 | === RUN 2 ===
1787793803 4.68 4.06 3.52 6/4446 88839 | === RUN 2 ===
1787793808 4.54 4.04 3.51 2/4428 88849 | === RUN 2 ===
1787793813 4.34 4.01 3.50 6/4405 88859 | === RUN 2 ===
1787793818 4.31 4.01 3.51 3/4418 88867 | === RUN 2 ===
1787793823 4.29 4.01 3.51 3/4443 88877 | === RUN 2 ===
1787793828 4.18 3.99 3.51 6/4456 88887 | === RUN 2 ===
1787793833 5.77 4.32 3.62 4/4493 88897 | === RUN 2 ===
1787793838 5.55 4.30 3.61 5/4516 88907 | === RUN 2 ===
1787793843 5.18 4.25 3.60 8/4464 88917 | === RUN 2 ===
1787793848 4.93 4.21 3.59 5/4480 88927 | === RUN 2 ===
1787793853 4.69 4.17 3.58 3/4468 88937 | === RUN 2 ===
1787793858 4.64 4.17 3.58 2/4480 88947 | === RUN 2 ===
1787793863 4.43 4.13 3.58 4/4502 88957 | === RUN 2 ===
1787793868 4.23 4.10 3.57 2/4508 88967 | === RUN 2 ===
1787793873 3.97 4.05 3.55 3/4470 88977 | === RUN 2 ===
1787793878 3.89 4.03 3.55 3/4468 88987 | === RUN 2 ===
1787793883 3.66 3.98 3.54 4/4479 88997 | === RUN 2 ===
1787793888 3.53 3.94 3.53 3/4508 89007 | === RUN 2 ===
1787793893 4.61 4.16 3.60 3/4539 89017 | === RUN 2 ===
1787793898 4.40 4.13 3.59 3/4564 89027 | === RUN 2 ===
1787793903 4.21 4.09 3.58 5/4532 89037 | === RUN 2 ===
1787793908 3.95 4.04 3.57 4/4556 89047 | === RUN 2 ===
1787793913 3.71 3.99 3.55 5/4563 89057 | === RUN 2 ===
1787793918 3.50 3.94 3.54 2/4550 89067 | === RUN 2 ===
1787793923 3.30 3.89 3.53 2/4577 89077 | === RUN 2 ===
1787793928 3.19 3.86 3.52 2/4566 89087 | === RUN 2 ===
1787793933 3.10 3.83 3.51 2/4527 89097 | === RUN 2 ===
1787793938 3.17 3.83 3.51 3/4562 89107 | === RUN 2 ===
