ok  	github.com/n-orlov/deck/cmd/deck	5.295s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.792s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.767s
ok  	github.com/n-orlov/deck/features	309.469s
ok  	github.com/n-orlov/deck/internal/agent	0.005s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.024s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.043s
ok  	github.com/n-orlov/deck/internal/interactive	11.278s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	3.939s
ok  	github.com/n-orlov/deck/internal/store	1.892s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.287s
ok  	github.com/n-orlov/deck/internal/tui	0.669s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
