ok  	github.com/n-orlov/deck/cmd/deck	7.227s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.783s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.767s
ok  	github.com/n-orlov/deck/features	305.010s
ok  	github.com/n-orlov/deck/internal/agent	0.005s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.024s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.542s
ok  	github.com/n-orlov/deck/internal/interactive	11.003s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.248s
ok  	github.com/n-orlov/deck/internal/store	2.371s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.361s
ok  	github.com/n-orlov/deck/internal/tui	1.102s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
