ok  	github.com/n-orlov/deck/cmd/deck	7.419s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.787s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.770s
ok  	github.com/n-orlov/deck/features	305.336s
ok  	github.com/n-orlov/deck/internal/agent	0.005s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.025s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.047s
ok  	github.com/n-orlov/deck/internal/interactive	10.978s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.070s
ok  	github.com/n-orlov/deck/internal/store	2.333s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.339s
ok  	github.com/n-orlov/deck/internal/tui	1.133s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
