ok  	github.com/n-orlov/deck/cmd/deck	7.445s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.794s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.776s
ok  	github.com/n-orlov/deck/features	311.662s
ok  	github.com/n-orlov/deck/internal/agent	0.005s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.026s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.057s
ok  	github.com/n-orlov/deck/internal/interactive	11.052s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.232s
ok  	github.com/n-orlov/deck/internal/store	2.390s
ok  	github.com/n-orlov/deck/internal/theme	0.004s
ok  	github.com/n-orlov/deck/internal/tmux	19.284s
ok  	github.com/n-orlov/deck/internal/tui	1.374s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
