ok  	github.com/n-orlov/deck/cmd/deck	7.342s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.786s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.771s
ok  	github.com/n-orlov/deck/features	323.789s
ok  	github.com/n-orlov/deck/internal/agent	0.004s
ok  	github.com/n-orlov/deck/internal/audit	0.017s
ok  	github.com/n-orlov/deck/internal/config	0.025s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.073s
ok  	github.com/n-orlov/deck/internal/interactive	10.944s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	5.514s
ok  	github.com/n-orlov/deck/internal/store	2.553s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.482s
ok  	github.com/n-orlov/deck/internal/tui	3.394s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
