ok  	github.com/n-orlov/deck/cmd/deck	7.347s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.790s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.772s
ok  	github.com/n-orlov/deck/features	329.500s
ok  	github.com/n-orlov/deck/internal/agent	0.003s
ok  	github.com/n-orlov/deck/internal/audit	0.017s
ok  	github.com/n-orlov/deck/internal/config	0.026s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.015s
ok  	github.com/n-orlov/deck/internal/interactive	10.920s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	6.336s
ok  	github.com/n-orlov/deck/internal/store	2.554s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.412s
ok  	github.com/n-orlov/deck/internal/tui	3.352s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
