2026-09-16T19:55:07Z
ok  	github.com/n-orlov/deck/cmd/deck	7.419s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.795s
ok  	github.com/n-orlov/deck/cmd/fake-codex	0.120s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.778s
ok  	github.com/n-orlov/deck/features	361.581s
ok  	github.com/n-orlov/deck/internal/agent	0.006s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.021s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.332s
ok  	github.com/n-orlov/deck/internal/interactive	10.784s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	6.626s
ok  	github.com/n-orlov/deck/internal/store	2.520s
ok  	github.com/n-orlov/deck/internal/theme	0.004s
ok  	github.com/n-orlov/deck/internal/tmux	19.409s
ok  	github.com/n-orlov/deck/internal/tui	3.533s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
EXIT:0
2026-09-16T20:02:08Z
