2026-09-16T19:25:06Z
ok  	github.com/n-orlov/deck/cmd/deck	7.263s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.788s
ok  	github.com/n-orlov/deck/cmd/fake-codex	0.118s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.768s
ok  	github.com/n-orlov/deck/features	361.418s
ok  	github.com/n-orlov/deck/internal/agent	0.006s
ok  	github.com/n-orlov/deck/internal/audit	0.017s
ok  	github.com/n-orlov/deck/internal/config	0.023s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.343s
ok  	github.com/n-orlov/deck/internal/interactive	10.836s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	6.506s
ok  	github.com/n-orlov/deck/internal/store	2.521s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.373s
ok  	github.com/n-orlov/deck/internal/tui	3.583s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
EXIT:0
2026-09-16T19:32:06Z
