ok  	github.com/n-orlov/deck/cmd/deck	7.569s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.788s
ok  	github.com/n-orlov/deck/cmd/fake-codex	0.121s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.771s
ok  	github.com/n-orlov/deck/features	402.958s
ok  	github.com/n-orlov/deck/internal/agent	0.009s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.028s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.414s
ok  	github.com/n-orlov/deck/internal/interactive	15.435s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	7.057s
ok  	github.com/n-orlov/deck/internal/store	3.217s
ok  	github.com/n-orlov/deck/internal/theme	0.004s
ok  	github.com/n-orlov/deck/internal/tmux	25.716s
ok  	github.com/n-orlov/deck/internal/tui	7.224s
?   	github.com/n-orlov/deck/internal/tui/sidebarcursor	[no test files]
?   	github.com/n-orlov/deck/internal/unit	[no test files]
