"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TestPreviewTitleNamesInteractiveModeAndTheExitChord","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","1640","deleting a non-empty group in settings offers moving members to default or the same dd confirm (R131 part 2)","","","passed","","","The `,` settings takeover (requirement 48)","",""
"","30","TestNameDispatchedPayloadLandsInTheImpostorPane","","Fri Sep 25 23:32:40 BST 2026","passed","Fri Sep 25 23:32:40 BST 2026","","github.com/n-orlov/deck/internal/tmux","github.com/n-orlov/deck/internal/tmux",""
"","0","TestThemeFallbackNoticeStaysWithinFrameBudget/120x24","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestDriftEndingKeysBringSelectionBackIntoView/key=""F""","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestListShowsArchivedGlyphInASCIIModeAsBracketedWord","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestPermissionAndStopRequireAPromptFirst","","Fri Sep 25 23:31:21 BST 2026","passed","Fri Sep 25 23:31:21 BST 2026","","github.com/n-orlov/deck/cmd/fake-codex","github.com/n-orlov/deck/cmd/fake-codex",""
"","10","TestSendNamedKeyDeliversHomeAndEndByTmuxsOwnTranslationNotHandEncoded/Home","","Fri Sep 25 23:32:40 BST 2026","passed","Fri Sep 25 23:32:40 BST 2026","","github.com/n-orlov/deck/internal/tmux","github.com/n-orlov/deck/internal/tmux",""
"","10","TestClickInsideOverlayStillDoesNothing/help_overlay_(scrollable)","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestSettingsNotifyEntryIsNavigableAndOpensNothing","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestFooterHandlerAgreementAcrossEveryRowClass/non-empty_mark_set:_selected_row_differs_from_the_marked_row/Y","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","50","TestSetSessionEnvValueRejectsMissingSessionOrKey","","Fri Sep 25 23:32:31 BST 2026","passed","Fri Sep 25 23:32:31 BST 2026","","github.com/n-orlov/deck/internal/store","github.com/n-orlov/deck/internal/store",""
"","0","TestSettingsSearchKeyEntersSearchModeAndEnterJumps","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","510","TestFeatures/the_emulator_reads_foreground,_background,_bold,_dim_and_reverse_from_raw_SGR_bytes","","Fri Sep 25 23:33:19 BST 2026","passed","Fri Sep 25 23:33:19 BST 2026","","github.com/n-orlov/deck/features","github.com/n-orlov/deck/features",""
"","0","TestSideBySideFrameHasOneSeamAndOneColumnPadding","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","110","TestArchiveOnStoppedSessionOnlySetsArchivedAtAndLeavesStatus","","Fri Sep 25 23:32:15 BST 2026","passed","Fri Sep 25 23:32:15 BST 2026","","github.com/n-orlov/deck/internal/service","github.com/n-orlov/deck/internal/service",""
"","160","TestRepaintModesProduceDistinguishingObservables/sigwinch_mode_repaints_immediately_on_SIGWINCH,_not_on_a_keystroke","","Fri Sep 25 23:31:20 BST 2026","passed","Fri Sep 25 23:31:20 BST 2026","","github.com/n-orlov/deck/cmd/fake-claude","github.com/n-orlov/deck/cmd/fake-claude",""
"","0","TestDeclaredExecutableEqualsLaunchArgv0/pi","","Fri Sep 25 23:31:45 BST 2026","passed","Fri Sep 25 23:31:45 BST 2026","","github.com/n-orlov/deck/internal/agent","github.com/n-orlov/deck/internal/agent",""
"","0","TestAllDialogsRejectMouseAtBorderBodyAndOutside/rename/body","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestAcceptsOnlyDocumentedSandboxValues/rejects_none","","Fri Sep 25 23:31:21 BST 2026","passed","Fri Sep 25 23:31:21 BST 2026","","github.com/n-orlov/deck/cmd/fake-codex","github.com/n-orlov/deck/cmd/fake-codex",""
"","0","TestNoSendPathBypassesTheDispatcherVerify","","Fri Sep 25 23:32:40 BST 2026","passed","Fri Sep 25 23:32:40 BST 2026","","github.com/n-orlov/deck/internal/tmux","github.com/n-orlov/deck/internal/tmux",""
"","0","TestSidebarQualityBadgeRendersDimmed","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","300","TestRepaintModesProduceDistinguishingObservables/never_mode_never_repaints,_whatever_arrives","","Fri Sep 25 23:31:21 BST 2026","passed","Fri Sep 25 23:31:21 BST 2026","","github.com/n-orlov/deck/cmd/fake-pi","github.com/n-orlov/deck/cmd/fake-pi",""
"","0","TestNextAttentionSelectionNoopWhenNothingNeedsAttention","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","1012","malformed launch_args JSON names the problem and keeps the modal open","","","passed","","","The create modal's §11.7 cwd prefill (requirement 12)","",""
"","0","TestRenderRowsClampsOffsetToActualScrollbackLength","","Fri Sep 25 23:31:58 BST 2026","passed","Fri Sep 25 23:31:58 BST 2026","","github.com/n-orlov/deck/internal/interactive","github.com/n-orlov/deck/internal/interactive",""
"","0","TestFooterHandlerAgreementAcrossEveryRowClass/live/running/U","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestDeckOwnedCellsCarryExplicitForegroundOnEveryBuiltin/daylight/theme_picker_over_the_live_list","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestBulkDeleteOpensConfirmForMarkedSetAndOneUndoRestoresTheBatch","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestInvalidControlsAreRejected/DECK_DELETE_GRACE_MS","","Fri Sep 25 23:31:45 BST 2026","passed","Fri Sep 25 23:31:45 BST 2026","","github.com/n-orlov/deck/internal/config","github.com/n-orlov/deck/internal/config",""
"","670","TestRenderCoalescerAtTwoIntervalSettingsGivesDifferentRenderCounts","","Fri Sep 25 23:31:58 BST 2026","passed","Fri Sep 25 23:31:58 BST 2026","","github.com/n-orlov/deck/internal/interactive","github.com/n-orlov/deck/internal/interactive",""
"","60","TestReceiveHookAppliesOverAnyStaleSourceExceptStopped/Stop/from_waiting/via_user","","Fri Sep 25 23:31:45 BST 2026","passed","Fri Sep 25 23:31:45 BST 2026","","github.com/n-orlov/deck/internal/hookrecv","github.com/n-orlov/deck/internal/hookrecv",""
"","0","TestHelpKeysEntriesAllGetKeycapStyling","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestExpandCreateCWDOtherUserRejected","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","1056","the settings takeover's search footer paints deck background across its whole row","","","passed","","","The settings takeover's own footer carries deck's background token in every mode (requirement 118, task cure-03-01)","",""
"","0","TestFooterHandlerAgreementAcrossEveryRowClass/archived/R","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestBelowMinimumFrameStaysWithinBudget/100x30/attachError/short","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestConfigFileMalformedIsRejected/unquoted_env_value","","Fri Sep 25 23:31:45 BST 2026","passed","Fri Sep 25 23:31:45 BST 2026","","github.com/n-orlov/deck/internal/config","github.com/n-orlov/deck/internal/config",""
"","0","TestFooterHandlerAgreementAcrossEveryRowClass/live/running/R","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","140","TestResumeReleasesItsLaunchLeaseWhenTheLaunchCompletes","","Fri Sep 25 23:32:15 BST 2026","passed","Fri Sep 25 23:32:15 BST 2026","","github.com/n-orlov/deck/internal/service","github.com/n-orlov/deck/internal/service",""
"","0","TestCanvasDefaultForegroundClearsFloor/empire","","Fri Sep 25 23:32:39 BST 2026","passed","Fri Sep 25 23:32:39 BST 2026","","github.com/n-orlov/deck/internal/theme","github.com/n-orlov/deck/internal/theme",""
"","0","TestSettingsFieldValueDisplayPerKind/enum_selected","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestSortSessionsByOrderUnknownValueFallsBackToAttention","","Fri Sep 25 23:33:05 BST 2026","passed","Fri Sep 25 23:33:05 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","420","TestPaneIDPlusSessionNameStillDeliversIntoTheReplacementProgramAfterRespawn","","Fri Sep 25 23:32:40 BST 2026","passed","Fri Sep 25 23:32:40 BST 2026","","github.com/n-orlov/deck/internal/tmux","github.com/n-orlov/deck/internal/tmux",""
